Università,Link,Link_ex_studenti,ID_uni
Politecnico di Milano,https://www.linkedin.com/school/polimi/,https://www.linkedin.com/school/polimi/people/,https://www.linkedin.com/school/polimi/
Sapienza Università di Roma,https://www.linkedin.com/school/sapienzauniversitadiroma/,https://www.linkedin.com/school/sapienzauniversitadiroma/people/,https://www.linkedin.com/school/sapienzauniversitadiroma/
Università degli studi di Palermo,https://www.linkedin.com/school/universita-degli-studi-di-palermo/,https://www.linkedin.com/school/universita-degli-studi-di-palermo/people/,https://www.linkedin.com/school/universita-degli-studi-di-palermo/
Università degli Studi di Siena,https://www.linkedin.com/school/universita-di-siena/,https://www.linkedin.com/school/universita-di-siena/people/,https://www.linkedin.com/school/universita-di-siena/
Università degli Studi di Genova,https://www.linkedin.com/school/universit-degli-studi-di-genova/,https://www.linkedin.com/school/universit-degli-studi-di-genova/people/,https://www.linkedin.com/school/universit-degli-studi-di-genova/
Università degli Studi di Perugia,https://www.linkedin.com/school/universit-degli-studi-di-perugia/,https://www.linkedin.com/school/universit-degli-studi-di-perugia/people/,https://www.linkedin.com/school/universit-degli-studi-di-perugia/
Università Cattolica del Sacro Cuore,https://www.linkedin.com/school/unicatt/,https://www.linkedin.com/school/unicatt/people/,https://www.linkedin.com/school/unicatt/
Università degli Studi di Torino,https://www.linkedin.com/school/universita-degli-studi-di-torino/,https://www.linkedin.com/school/universita-degli-studi-di-torino/people/,https://www.linkedin.com/school/universita-degli-studi-di-torino/
Università di Roma Tor Vergata,https://www.linkedin.com/school/university-of-rome-tor-vergata/,https://www.linkedin.com/school/university-of-rome-tor-vergata/people/,https://www.linkedin.com/school/university-of-rome-tor-vergata/
Università degli Studi di Pavia,https://www.linkedin.com/school/university-of-pavia/,https://www.linkedin.com/school/university-of-pavia/people/,https://www.linkedin.com/school/university-of-pavia/
Università Ca'​ Foscari Venezia,https://www.linkedin.com/school/cafoscari/,https://www.linkedin.com/school/cafoscari/people/,https://www.linkedin.com/school/cafoscari/
Università degli Studi di Trieste,https://www.linkedin.com/school/universitadeglistudiditrieste/,https://www.linkedin.com/school/universitadeglistudiditrieste/people/,https://www.linkedin.com/school/universitadeglistudiditrieste/
Università di Trento,https://www.linkedin.com/school/universitaditrento/,https://www.linkedin.com/school/universitaditrento/people/,https://www.linkedin.com/school/universitaditrento/
Università degli Studi di Bergamo,https://www.linkedin.com/school/unibergamo/,https://www.linkedin.com/school/unibergamo/people/,https://www.linkedin.com/school/unibergamo/
Università degli Studi di Milano,https://www.linkedin.com/school/university-of-milan/,https://www.linkedin.com/school/university-of-milan/people/,https://www.linkedin.com/school/university-of-milan/
Università Bocconi,https://www.linkedin.com/school/universita-bocconi/,https://www.linkedin.com/school/universita-bocconi/people/,https://www.linkedin.com/school/universita-bocconi/
Università degli Studi di Milano-Bicocca,https://www.linkedin.com/school/university-degli-studi-di-milano-bicocca/,https://www.linkedin.com/school/university-degli-studi-di-milano-bicocca/people/,https://www.linkedin.com/school/university-degli-studi-di-milano-bicocca/
Università degli Studi di Salerno,https://www.linkedin.com/school/unisalerno/,https://www.linkedin.com/school/unisalerno/people/,https://www.linkedin.com/school/unisalerno/
Università IULM,https://www.linkedin.com/school/iulm-university/,https://www.linkedin.com/school/iulm-university/people/,https://www.linkedin.com/school/iulm-university/
Alma Mater Studiorum - Università di Bologna,https://www.linkedin.com/school/unibo/,https://www.linkedin.com/school/unibo/people/,https://www.linkedin.com/school/unibo/
